app_id,type,status,reference,count
com.authenticator.authservice2,url,FP,easylist,3
com.authenticator.authservice2,url,FP,easyprivacy,3
com.authy.authy,url,FP,easylist,3
com.authy.authy,url,FP,easyprivacy,3
com.azure.authenticator,url,FP,easylist,6
com.azure.authenticator,url,FP,easyprivacy,6
com.bankofamerica.authenticator,url,FP,easylist,2
com.bankofamerica.authenticator,url,FP,easyprivacy,2
com.bncr.detectid_otp,url,FP,easylist,1
com.bncr.detectid_otp,url,FP,easyprivacy,1
com.changingtec.motp.pro,url,FP,easylist,2
com.changingtec.motp.pro,url,FP,easyprivacy,2
com.dreammirae.anyauth.android,url,FP,easylist,4
com.mds.canarabankapp,url,FP,easyprivacy,2
it.previnet.authenticator,url,FP,easyprivacy,2
com.netfiles.netfilesotp,url,FP,easylist,1
com.nof.makanoh.openkeypos,url,FP,easylist,3
com18deglab.cylocklite,url,FP,easylist,2
com18deglab.cylocklite,url,FP,easyprivacy,2
cy.com.netinfo.crdbotp,url,FP,easylist,1
cy.com.netinfo.crdbotp,url,FP,easyprivacy,1
de.otp.main,url,FP,easylist,1
de.otp.main,url,FP,easyprivacy,1
dev.cat.coffee.authenticator,url,FP,easylist,3
dev.cat.coffee.authenticator,url,FP,easyprivacy,3
eu.netinfo.bcb.otp,url,FP,easylist,1
com.vn.vib.smeotp,url,FP,easyprivacy,3
eu.netinfo.bcb.otp,url,FP,easyprivacy,1
eu.netinfo.netteller.cqur.motp,url,FP,easyprivacy,1
hr.asseco.android.jimba.otpretailng,url,FP,easylist,7
hr.asseco.android.jimba.otpretailng,url,FP,easyprivacy,7
hr.asseco.android.mtoken.ht.test,url,FP,easylist,1
hr.asseco.android.mtoken.ht.test,url,FP,easyprivacy,1
hr.asseco.android.otp,url,FP,easylist,1
hr.asseco.android.otp,url,FP,easyprivacy,1
iSec.Authenticator,url,FP,easylist,1
iSec.Authenticator,url,FP,easyprivacy,1
eu.netinfo.netteller.cqur.motp,url,FP,easylist,1
com.vn.vib.smeotp,url,FP,easylist,3
com.trumotp.club,url,FP,easyprivacy,7
com.trumotp.club,url,FP,easylist,7
com.nof.makanoh.openkeypos,url,FP,easyprivacy,3
com.novoload.otp,url,FP,easylist,1
com.novoload.otp,url,FP,easyprivacy,1
com.pacifico.pacificid,url,FP,easylist,3
com.pacifico.pacificid,url,FP,easyprivacy,3
com.protectimus.android,url,FP,easylist,1
com.protectimus.android,url,FP,easyprivacy,1
com.protectimus.totpburner.nfc,url,FP,easylist,80
com.protectimus.totpburner.nfc,url,FP,easyprivacy,80
com.scrignosa,url,FP,easylist,4
com.scrignosa,url,FP,easyprivacy,4
wibmo.com.wibmoAuthApp,url,FP,easylist,1
com.sgn.sgotp,url,FP,easyprivacy,1
com.sgn.sgotp.lotte,url,FP,easylist,1
com.sgn.sgotp.lotte,url,FP,easyprivacy,1
com.stove.otp.google.android,url,FP,easylist,4
com.stove.otp.google.android,url,FP,easyprivacy,4
com.systemat.SeeZam_OTP,url,FP,easylist,2
com.systemat.SeeZam_OTP,url,FP,easyprivacy,2
com.techcombank.stk.corp,url,FP,easylist,1
com.techcombank.stk.corp,url,FP,easyprivacy,1
com.netfiles.netfilesotp,url,FP,easyprivacy,1
wibmo.com.wibmoAuthApp,url,FP,easyprivacy,1
